,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
10,0.502,0.211,0.48484848484848486,0.21212121212121213,0.19562224455042893,0.19764967989880314,0.8552006617665597,0.8779033704155559,0.015503645151694369,0.004617468564692846,0.00462526713007713,0.016147762624078455,0.004960235364478649,0.004935112164186349,0.013998066729058643,0.003813049351960399,0.037936581277797914,0.020435850996190396,0.0
11,0.507,0.189,0.49184149184149184,0.1888111888111888,0.16685781818243203,0.17203931882102724,0.9092182198782484,0.8491534067344808,0.0066870414179712335,0.002393063854250043,0.002365130108313156,0.007189383832274605,0.00278573571075461,0.0027582247363207146,0.006045323428002611,0.0019793282241808005,0.017069614625833455,0.010083088952504808,0.0
12,0.488,0.21,0.4825174825174825,0.20512820512820512,0.19171906625409824,0.2009848383155905,0.8952723151038205,0.8629408052973178,0.00704200743535986,0.002567093728443488,0.002565364709262527,0.0076624661564668566,0.003083529637376379,0.0030789007788923125,0.006277074083757248,0.002062258241279813,0.01547269479032975,0.008230453317899473,0.0
13,0.49,0.198,0.5151515151515151,0.20046620046620048,0.18334146421303257,0.1932802660678784,0.9242537891731875,0.9114428537746053,0.004366186462055026,0.0019138201651116263,0.001913877568017914,0.004734259809724789,0.0022243201632896298,0.0022265426254877213,0.0038573982602209504,0.001538688081758147,0.010174481424130006,0.006190283859014342,0.0
14,0.493,0.2,0.5081585081585082,0.19347319347319347,0.1825565918062326,0.1885434856215008,0.8874192122605642,0.9333328214893885,0.0038948930188991504,0.0013310190303681773,0.0013041024750166845,0.004149663153436558,0.001514495716038739,0.001488882288243321,0.003499450660682377,0.00109633244002212,0.010231575506342612,0.006102341136143258,0.0
15,0.498,0.208,0.46153846153846156,0.2097902097902098,0.19321434299186535,0.20721011199076395,0.9011349225251954,0.9067667842830512,0.007137986233365384,0.0020730679274198376,0.0021006280083186646,0.007718793006407732,0.0025202402295219015,0.0025247835655450536,0.006367950101817481,0.001618554610858385,0.020139585578911674,0.011978785610631334,0.0
16,0.51,0.208,0.5058275058275058,0.22377622377622378,0.19308538706396666,0.2131179690280001,0.8609325474065788,0.7385899427410989,0.09610220447521653,0.03499155845035414,0.03521084208818996,0.10714074948401828,0.04400613629013232,0.04423769976100793,0.08173078058135275,0.02509572797889105,0.258723551257218,0.16140856951658594,0.0
17,0.47,0.19,0.5011655011655012,0.19813519813519814,0.19157959444563427,0.20164796704040236,0.9106207077463739,0.8722979751593747,0.021758643383784644,0.00537093970316746,0.005661939335773001,0.022547432529993097,0.005868791016900066,0.006115988418768922,0.02030790110645073,0.004598722807710183,0.0501986909633543,0.023205895352605244,0.0
18,0.513,0.195,0.47086247086247085,0.19114219114219114,0.17669454867653847,0.18599967029710968,0.8893072089016005,0.8807583337613006,0.013924848682964314,0.0036312690245566895,0.0036176899451815254,0.014975472312501854,0.004376774308446707,0.004370802130232351,0.012595616937493686,0.0029140884891533,0.04125723069830697,0.02462163629381439,0.0
19,0.483,0.199,0.5011655011655012,0.22144522144522144,0.20408325993961188,0.2101057203473155,0.9343038278178416,0.9067957777716377,0.02106261669406015,0.004548136225254646,0.004785900432477799,0.021564950833837995,0.004691242681275982,0.005020957828177009,0.019775276225606514,0.0041019720319299055,0.05699388518371493,0.03006273139580947,0.0
20,0.509,0.199,0.5104895104895105,0.1958041958041958,0.19819050510007227,0.198101074515929,0.8938354801159801,0.894830907090354,0.020256146614520694,0.0033755268876568753,0.0031120307960156995,0.021309670313029706,0.003952582129285995,0.00369993197469343,0.01846605788256516,0.0026767563712807897,0.0668014008191999,0.03967093094829903,0.0
21,0.488,0.189,0.4988344988344988,0.1864801864801865,0.18191627714483546,0.18462211332912734,0.8931567346863865,0.8847397038806546,0.01255516117926619,0.0031601137973623437,0.0031587070921827633,0.013274259561113066,0.003696666171110091,0.003705763045486246,0.011538798455666572,0.0025430522035142684,0.034628045406231774,0.019170818087729913,0.0
22,0.497,0.22,0.4731934731934732,0.21678321678321677,0.2008253868785962,0.21405342285529916,0.8593647144251044,0.782634372527028,0.025114190080899736,0.004783140352562488,0.0045293630967730945,0.027310981124887522,0.006379172860628005,0.006163818647209732,0.02222840077277017,0.0033378307898192343,0.07709849519972295,0.04463917206878446,0.0
23,0.474,0.202,0.5314685314685315,0.21212121212121213,0.18452172017867371,0.19138541133540082,0.8871041697128756,0.9030450843370195,0.0054013129668470244,0.0013521706824788562,0.0013798711384064178,0.00585852573281951,0.0017285261970917372,0.0017545426173851651,0.004871531525534889,0.0010183834826060765,0.01315376814394817,0.0065329738794210595,0.0
24,0.52,0.207,0.4731934731934732,0.20512820512820512,0.19256100509281035,0.20454312616633885,0.8749496004906342,0.9202771362198955,0.008433150333460397,0.003355013611771959,0.003390718506261832,0.01025890607672005,0.005007293307562228,0.005033006483482555,0.006863221114674254,0.0021725678660784514,0.021894359034219987,0.013834494793555432,0.0
25,0.508,0.192,0.5337995337995338,0.20046620046620048,0.18803082785733513,0.19187964536042537,0.8631474726715886,0.8190925074313693,0.009570282057086972,0.0039002885609868004,0.00384745054601691,0.010582076094177181,0.004769171046732863,0.004715586754211316,0.008505050125609485,0.003129522022718504,0.025419850436836006,0.01618317817926751,0.0
26,0.471,0.21,0.4825174825174825,0.20279720279720279,0.18303835369701454,0.19343192027434428,0.8875759847579974,0.8114891791039798,0.008936816680330672,0.0007579280920705939,0.0007820823874236677,0.00945021020068305,0.001105651431297176,0.001117257519284813,0.008261455982176006,0.0004836335114564768,0.029199363832375577,0.015834872815957777,0.0
27,0.502,0.2,0.5011655011655012,0.19347319347319347,0.1797128875363675,0.1845783630780464,0.920381054622891,0.9337449627655621,0.013377008655518881,0.0032396134047922125,0.0032901313972147055,0.013937639800660467,0.003556991566633843,0.0036361147019213884,0.01222678219189043,0.0026424981588664288,0.036628598814486664,0.020160097721751355,0.0
